scenario,functional,predicted_Pd_gap_kcal,Pd_signed_error_kcal,set_MAE,set_MSE,set_RMSE,delta_set_MAE,NER_frozen,overall_NER_frozen,TM_NER_frozen,delta_overall_NER_frozen,overall_rank_frozen,NER_exploratory_panel,overall_NER_exploratory_panel,TM_NER_exploratory_panel,overall_rank_exploratory_panel,delta_overall_NER_vs_current_exploratory_panel
current_official,wB97M2,22.7156080214,-50.0043922636,5.77195661086,-3.03046635142,11.9246200723,0,1.11138810484,0.948532485059,1.05187242168,0,1,1.11138810484,0.948532485059,1.05187242168,1,0
current_official,B3LYP,16.8687958387,-55.8512044463,7.46233063891,-0.497997689788,12.0796289988,0,1.43686899704,5.69116028554,2.12867406192,0,16,1.43686899704,5.69116028554,2.12867406192,16,0
current_official,BMK,-6.45541743184,-79.1754177169,8.264940639,-3.64059185601,16.3569161097,0,1.5914112549,4.52362009851,1.98948066064,0,15,1.5914112549,4.52362009851,1.98948066064,15,0
current_official,CAMB3LYP,17.8300455363,-54.8899547487,5.31282213003,-1.47167502817,10.8636729811,0,1.02298193082,3.64800509733,1.85042557165,0,13,1.02298193082,3.64800509733,1.85042557165,13,0
current_official,CF22D,22.5781673824,-50.1418329027,4.93902333124,-1.08225617335,9.94653164186,0,0.951007110745,1.24925710506,1.03924895308,0,3,0.951007110745,1.24925710506,1.03924895308,3,0
current_official,M052X,22.6520902574,-50.0679100276,9.81173770499,2.52771713246,13.2394848706,0,1.88924645632,1.94149334606,1.74440411212,0,6,1.88924645632,1.94149334606,1.74440411212,6,0
current_official,M062X,23.8751042143,-48.8448960707,8.15788959349,0.667402237788,12.103532141,0,1.57079861579,1.97100444588,2.28259134454,0,7,1.57079861579,1.97100444588,2.28259134454,7,0
current_official,M08HX,28.5188424322,-44.2011578528,5.16186589579,-4.1296293027,9.1491565364,0,0.993915363905,1.99347506192,2.2229666512,0,8,0.993915363905,1.99347506192,2.2229666512,8,0
current_official,MN15,21.26769241,-51.452307875,6.95760235311,0.933605928603,11.7513806572,0,1.3396837528,2.00986935637,1.10391696843,0,9,1.3396837528,2.00986935637,1.10391696843,9,0
current_official,PBE0,16.6255562238,-56.0944440612,8.74710365861,-6.22643718731,13.0839257474,0,1.68425156552,3.47768227047,1.61019905541,0,12,1.68425156552,3.47768227047,1.61019905541,12,0
current_official,PW6B95,19.2755297995,-53.4444704855,5.80285920716,-3.32486389387,10.9994381838,0,1.11733838829,3.27735693207,1.36358141951,0,11,1.11733838829,3.27735693207,1.36358141951,11,0
current_official,SOGGA11X,19.1952185643,-53.5247817207,5.51552609185,0.517204656626,10.7724715144,0,1.0620125035,4.11485677634,2.03480975046,0,14,1.0620125035,4.11485677634,2.03480975046,14,0
current_official,r2SCAN0,12.0108313458,-60.7091689392,17.0388552125,-6.98576530773,24.2080879204,0,3.28082525214,2.8116739973,1.65685897988,0,10,3.28082525214,2.8116739973,1.65685897988,10,0
current_official,wB97M-V,24.7833539598,-47.9366463253,5.10571071812,-3.27907336469,9.53477996178,0,0.98310270527,1.07553850234,1.18766208872,0,2,0.98310270527,1.07553850234,1.18766208872,2,0
