scenario,reference_kcal,reference_hartree,reference_RMS_kcal,published_metric_standard,exploratory_panel_metric_standard,published_RMSE_standard,exploratory_panel_RMSE_standard,panel_second_to_fourth,status
current_official,72.720000285,0.115886697,138.96736907,5.19346624798,5.19346624798,9.95730321354,9.95730321354,wB97M-V;M08HX;CAMB3LYP,Unchanged production reference
issue_QZ,20.3396936237,0.032413365,138.418212993,5.19346624798,3.76704465383,9.95730321354,4.80322670272,CAMB3LYP;wB97M-V;SOGGA11X,Reporter finite-basis CCSD(T); not approved
ACCDB_experiment,18.7699843219,0.029911874,138.411282867,5.19346624798,3.75955256199,9.95730321354,4.83754963771,CAMB3LYP;wB97M-V;SOGGA11X,SOC-removed experiment; convention unresolved
SI_AWQZ,20.32,0.032381981213,138.418122604,5.19346624798,3.76683951192,9.95730321354,4.80356165579,CAMB3LYP;wB97M-V;SOGGA11X,SI finite-basis component; not a final reference
SI_AW5Z,20.96,0.0334018861331,138.42110484,5.19346624798,3.77350617859,9.95730321354,4.79393032099,CAMB3LYP;wB97M-V;SOGGA11X,SI finite-basis component; not a final reference
PP_composite_inference,21.39,0.0340871347513,138.423160429,5.19346624798,3.77798534525,9.95730321354,4.78891675767,CAMB3LYP;wB97M-V;SOGGA11X,21.85 minus DKH-PP 0.46; selected by maintainer on 2026-09-05; source alignment still provisional
SI_CBS_or_sccCA,21.85,0.0348201914126,138.42540561,5.19346624798,3.78277701192,9.95730321354,4.78485492787,wB97M-V;CAMB3LYP;SOGGA11X,Same rounded number for distinct CBS and full composite quantities
