Dataset,Datatype,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4
BH28,Barrier Height,-0.04792150904820626,-0.6027158217234704,1.811267908442028,1.401504654414689,0.08561062450471454,-0.5540770110851503,0.0525423274598557,0.9005070494270895,0.4057483385987019,-1.010161172298213,-0.1556405832025309,2.277803363203834,-0.6950675563757939,0.1434720360180788,1.504948903191991,1.069510045291007
BH46,Barrier Height,-0.494964367898594,-4.419492549420601,-0.5397128064992281,-2.8008039396441,-1.268653364839958,-0.4579787412334166,-0.4169990426843469,0.1328947257944695,-0.7998402987677773,-3.840753709182664,-3.148141918320478,-1.043234351931164,-3.003840138418351,-1.328311661818727,-1.365887279708344,0.421637736848423
BH876,Barrier Height,-0.9418563857592919,-1.059687879259875,1.653717202249201,1.773942015589871,-0.7853149530823179,-0.8358592118460819,-0.57994297411465,-0.1706753850079083,-1.050819144668109,-1.518596364986019,-1.594633664539762,2.154173584234832,-1.6188186638847,-0.1699681195089123,0.91156119591318,1.124326818552944
BHDIV7,Barrier Height,-0.6665201872098455,-1.665573278685544,-0.7344951599796007,-0.3584563335965227,-1.263553166597816,-0.6405063695960312,-1.024357769589349,-0.4484802501613429,-1.828539326814376,-4.158965598640983,-2.251768721239722,-0.6509087644826765,-2.851520708151459,-1.472263696212568,-0.5406993203655477,-0.5798346761922891
BHPERI11,Barrier Height,-0.1508073723950087,5.643750373594997,3.242207656047067,6.589607720138094,1.13745784341854,-0.8488273307053926,0.9373399151435596,-0.3655399792035043,0.9324414164691283,-0.1936311460656621,1.813992282379729,4.539058011513697,-0.7486763222503605,1.335940607500631,2.686004045914137,0.3569678407284299
BHROT27,Barrier Height,0.06420825449128532,0.3134939069047049,0.51515737726614,0.3494783354355352,0.2166511320803481,0.4583752511923664,0.3484453618658743,0.3750857164913285,0.4550953614139523,0.5320525144021738,0.4862837280648136,0.3540136113502608,0.7940577002553871,0.05100276616578261,0.1673088164228402,0.09521285814012305
CRBH14,Barrier Height,-1.41932131800775,-8.819444612852054,-2.849615930040776,-1.329272847886048,-2.272522377927559,2.418563697716297,0.7018378726594351,0.5999205673427964,-0.159638347448839,0.5443907076012425,-4.38591717872986,0.03604657803162979,0.2034981580815339,-1.139680434304445,2.820515335051148,-0.2942907144140037
DBH22,Barrier Height,-0.2358135280188242,-3.889224885067955,0.008570595707253464,-2.120710884036112,-1.125313224720101,0.2358951841181345,0.07427281714011427,0.2808532144808616,-0.6864113696188916,-3.181169880805041,-2.464957641298301,-0.4910065252621694,-2.762617655971998,-0.7572409396053409,-0.2743847298787809,0.6920492099846502
INV23,Barrier Height,0.2796500063641261,-1.741712330538209,-0.6441809684314999,-1.048153956641147,-0.3733004206118168,-0.3191243628749912,-0.2763689803123308,-0.2559926727226336,-1.670897741787303,-1.225209407939918,-1.234585859128575,-0.3085685294755195,-0.1763851374128582,-0.192223422054469,-0.0892932967585576,-0.4368010119838716
ORBH35,Barrier Height,0.7693361658946319,-2.078336051757858,0.3204916303374592,-0.6956705768696312,0.09290163019018842,0.5426130288461919,1.115651455157706,1.35929680334076,-0.1549943596017783,-1.726841123589973,-1.283039940844997,0.4589532093787229,-1.290589039382385,-0.1158582539169449,-0.02367985170189202,3.361651245543972
PX9,Barrier Height,-0.4683207999001955,-3.50718128214956,0.1941126999928715,-4.36260204380122,-0.803971552704093,-7.10406024666206,-5.042747228687835,0.8868132129685969,-2.140784185402468,-6.11452421387176,-1.323775753843739,1.239175365801116,-4.685436222385783,-1.816533892245737,-2.412580097051662,-1.31842345571027
WCPT26,Barrier Height,-0.5170012423448181,-1.133169592878758,1.155488084771627,-1.826379750538266,-0.9405365655826237,-2.836839182740485,-2.526313498450931,0.9117266764395187,-1.684759046414638,-4.491389853086121,-0.5749773422432081,1.405884848280523,-3.573727969983539,-1.099079636267194,-0.9914119854956962,-0.8707970110343778
Dip146,Electric field,-0.002581691511934199,0.001031734799041654,-0.0149398077334283,-0.0004786241722156416,-0.01738254607226645,-0.007006617181123965,-0.01163191925478845,0.004145126156244486,-0.02110600326161934,0.005044730351323031,0.001333787904345472,-0.0003934221422179281,-0.002117963401005167,-0.005061298543205479,0.005518478370596497,-0.007656807311406189
HR46,Electric field,0.09959213387707842,0.2109421823687957,0.0394477867522938,0.1150921057225626,0.2019682848142891,0.02736492974197545,0.0656137672925157,0.07770643592001207,0.1476107244875819,0.134938667509259,0.1410538700792659,0.06315528622333794,0.05012972922701776,0.1829246834022957,0.06570618024010232,0.09579508545359271
OEEF,Electric field,-0.03493035685795658,-0.5272592138348752,-0.01613292021444051,-0.1546691359123235,-0.2562894680265385,0.01515752087526684,-0.008156326155877539,-0.08874432402661839,-0.1169664385055904,-0.3049366324634871,-0.2326413526987968,0.01379748129431591,0.02182855564348813,-0.204633288622269,-0.08632838855970677,-0.03549728441104216
Pol130,Electric field,-0.1040736337117523,0.01173218893385425,-0.08484890824027137,-0.05918252782271632,-0.04767584595592137,-0.1079360673318568,-0.1663557397866886,-0.1197859102766164,-0.05361989014307862,0.01492454703062757,-0.03116156558525685,-0.02471424446732986,-0.007046308714107797,-0.005021544280477519,-0.0303923431355025,-0.7751556678097361
T144,Electric field,0.145226217911835,0.3648335772080085,0.08962202606049285,0.1728500061990188,0.2958818149658263,0.07248521070600757,0.1103334566856951,0.14289445422362,0.1939146335168359,0.2382182520981296,0.2460055607035404,0.1090533787565579,0.1119898297806251,0.266426740047448,0.08437978924227481,0.2743217777742631
V30,Frequency,21.1900862291823,-12.03757241287873,27.05841725275339,7.87806363300501,-35.19232013776335,31.31908573825491,19.53817926659813,16.22293502585094,-1.200151514777508,12.41564109151855,28.33304913933715,38.8027885065516,46.09242174539047,6.2218514245156,0.02023935258598282,1.818209485118351
ACONF,Intramolecular Noncovalent,0.06768259874103458,0.9433690075473871,0.1959028897075834,0.6874417367684303,-0.001431349104622824,0.06883747972824003,-0.2452807944514867,-0.3993514720611342,-0.5223135180856141,0.630536642516661,0.2025190107420149,0.4443692109046725,0.4221135122686705,-0.0566193640866887,0.007760041536221681,0.03166522301968624
Amino20x4,Intramolecular Noncovalent,-0.02720967204500816,-0.09571004951815934,-0.01488582681063461,0.01584194965775498,-0.02890706320955767,0.1243637534289549,-0.02578746418507994,0.07205278546436933,0.07285467668870878,0.02889502365675929,0.02613237398267159,-0.07294194755656426,0.07623207858210304,-0.04495323270381525,-0.04768543091888363,-0.04994671996499472
BUT14DIOL,Intramolecular Noncovalent,-0.05262525549633935,-0.2221984309969773,-0.1036027574033671,0.09080111407601578,-0.2468483042292142,-0.2696787578676623,-0.09721720236624758,-0.2818438232105303,-0.3929780101065187,-0.1111337515588392,-0.5417810455802368,-0.04606651078395329,-0.0311986366376202,-0.02344338235193532,-0.01849211197227799,-0.01324502355099716
