Dataset,Datatype,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4
BH28,Barrier Height,0.4985724140189425,3.049751571739767,1.905887915454172,2.302707522576886,0.7105964072846841,2.611220599020386,2.044938200168906,1.853564789476654,1.299762126423988,2.403046190155932,1.456029167926321,2.075681758020027,2.101528187473511,0.8384106060722657,1.95523026971847,1.708719746200632
BH46,Barrier Height,0.5221185506694869,3.421208019210504,1.059823691092566,2.30473306381906,1.07128401256504,1.108411249277341,0.9799654371368087,0.6987775464054551,0.9433624259721253,3.086863035251438,2.450956375603424,1.224138010304624,2.462060279647491,1.080336281102683,1.434582259977123,0.8143785105405235
BH876,Barrier Height,0.8225829850120345,2.84674097406477,1.505546249400427,1.76052780926047,0.9715505950831059,0.9783425319054775,0.961141330643474,0.9993183970795892,1.219527025192259,1.660907388391765,1.773772203252595,1.708303842478792,1.384103785161796,0.8482688006591642,1.351260722993377,1.968446854713459
BHDIV7,Barrier Height,0.6783669240714716,2.350915795636465,0.9629661650737632,1.458756488948766,1.186326501758302,1.14718216833033,0.9764817513734372,0.9099340348702291,1.582312530245818,3.598929092247505,1.948550851810535,1.053280389590659,2.467541649554862,1.27401213645303,0.7247929743752122,0.6611858748190743
BHPERI11,Barrier Height,0.4143582894091015,5.86599690206513,3.654337473575183,5.977819539906394,1.031854703797852,1.178247565432763,1.002749187796939,1.089756632704733,0.9915157820228613,0.858617700199297,1.853707268769786,4.117645666687214,1.047261591238843,1.211910056992639,2.436631761988508,1.875687595332312
BHROT27,Barrier Height,0.5013898007252675,1.374822872859451,1.907599420956291,1.387515766100192,0.8056228294372184,1.580984640017629,1.17768645121931,1.401648777337558,1.581758430860174,1.937875864545518,1.858700619229624,1.267251015940726,2.63368181692738,0.7354679730594978,1.013639977224516,0.3376280416046278
CRBH14,Barrier Height,1.645892389341446,10.22732244090224,3.304509776816196,1.830166526057466,2.635292825509911,2.804647216034433,1.410894665508291,1.009864393866188,0.9521081967063895,1.155506131527633,5.086055999557646,1.390688426432545,0.868417123591767,1.321611483815392,3.270763755241626,0.5832429290317643
DBH22,Barrier Height,0.4192689237362766,3.272886184965232,1.095198404639161,2.064309698996269,1.174806840976994,1.171002232920582,0.7376298612770712,0.8731758598348963,1.151299516081487,2.873417452279204,2.118257089260532,1.058449639945808,2.635788379791445,0.9736130445095034,1.153283108917929,0.8170871979443495
INV23,Barrier Height,0.596284488782974,1.679484298113861,1.331113856619901,1.44538251271949,1.091944649527778,1.266799847202142,1.176952597089933,1.328360981395383,2.188973179900715,1.387192022695603,1.374064530611394,1.289905233748525,1.175284888615684,0.9405961158171401,1.108708431622532,1.821426464711368
ORBH35,Barrier Height,1.031806094236709,1.261998586957958,1.02135298883618,0.9995818547975379,0.9524864633803864,1.115560328827031,1.303799916916976,1.435094958638706,1.165807544424255,1.313290446916042,1.152514323245595,1.040923449367623,1.014810526444597,0.969482799412667,1.09809438102578,2.113185975597497
PX9,Barrier Height,0.4137351997842065,3.05816300414339,0.7939848213164019,3.804065743637912,0.8543208237503641,6.194539853449532,4.397133131529444,2.304107344649904,1.866703334947226,5.331692386126322,1.154295062189008,1.080525913680792,4.085568027664481,1.583966239017356,2.103701691979272,1.149628009412971
WCPT26,Barrier Height,0.474385752211463,1.105572231869898,1.036463733593711,1.803796554907572,0.9184738380344688,2.605164366807827,2.291981222392466,1.14238264677198,1.471368626722776,3.558643346748379,1.044697417972744,1.155224047034672,3.034431167486238,0.961258001501912,1.164806641576888,0.7479776774014849
Dip146,Electric field,0.7463368442022503,1.198782529627875,1.239092071035832,1.048108487982527,1.118167715185472,1.304530859365123,1.049353934980754,1.081951106658557,1.326908529854447,1.048663428646118,0.9512518239728058,0.9271196251611501,1.205539746034707,1.050360227399302,1.000639687989999,0.8910494521073573
HR46,Electric field,1.267226449851375,2.749502379507224,0.8969153509593331,1.637251045466589,2.683004787282461,0.9853987730670931,1.052745243781235,1.152194863629515,1.869308116846955,1.79085847352662,1.815613084209554,1.018608649779599,0.9959925582139932,2.559381729266374,1.108144576358907,1.223513413580838
OEEF,Electric field,0.5268034585671836,1.774229389514721,1.044365915467829,0.974750161162508,1.717320604662223,0.9813726939099615,1.043737569953217,1.531153004091365,1.621177764882513,1.978868986396913,1.524841015379181,1.499793207269113,1.571734815058515,1.134327886426995,0.8748788691588717,1.360050904064035
Pol130,Electric field,1.424348416078118,1.947078948736017,1.089440197670293,1.374627156690055,1.98554005332503,1.079221534035038,0.9917286342449005,1.110251676959549,1.298968894792376,1.277510532230262,1.2940873607449,0.9290498317200611,0.730230485195823,2.022911834411501,1.145060273899298,3.153184909110716
T144,Electric field,1.229813962186721,2.674844031033567,0.9554764532435955,1.458902001765411,2.404084302623019,0.9611228529154525,0.9670186288628995,1.154125709091189,1.569555404487111,1.746785349895444,1.776552994894344,1.071858518221654,1.07719709402388,2.269215154348375,1.075742081432155,2.809216822180046
